Feature,Coefficient,Absolute_Importance
Jitter(%),52.37005704753126,52.37005704753126
Jitter:RAP_roll_std_3,51.59107495410392,51.59107495410392
Jitter:DDP_roll_std_3,-50.95086359104678,50.95086359104678
Shimmer:APQ11_roll_mean_3,-47.571495487533184,47.571495487533184
Jitter:PPQ5,-45.1877507333108,45.1877507333108
NHR,40.575999220107406,40.575999220107406
Shimmer(dB)_roll_mean_3,37.85118525627689,37.85118525627689
Jitter(%)_lag_2,37.280433483519694,37.280433483519694
Jitter:PPQ5_lag_2,-31.39636378692512,31.39636378692512
Shimmer:APQ5,-31.067452390857127,31.067452390857127
Shimmer_rate_change,29.16788686430914,29.16788686430914
Shimmer_lag_1,-28.86541284779389,28.86541284779389
Shimmer:APQ11,26.885384475254337,26.885384475254337
NHR_lag_2,26.663896399174064,26.663896399174064
Shimmer(dB),-21.48493583690666,21.48493583690666
HNR_roll_mean_3,-21.47038037083243,21.47038037083243
Shimmer:APQ5_lag_2,-21.253035106496043,21.253035106496043
Jitter(%)_lag_1,18.769482404546913,18.769482404546913
Shimmer:APQ11_lag_2,18.57491760543047,18.57491760543047
Jitter(%)_historical_variability,18.164228463360008,18.164228463360008
DFA_roll_mean_3,16.98723030164456,16.98723030164456
Jitter(%)_rate_change,-16.950328154006765,16.950328154006765
Jitter:PPQ5_lag_1,-14.839181522125045,14.839181522125045
Jitter:PPQ5_rate_change,14.406747961409224,14.406747961409224
Shimmer(dB)_lag_2,-14.315334005667125,14.315334005667125
NHR_lag_1,12.097335807292154,12.097335807292154
HNR,12.032107263738338,12.032107263738338
NHR_rate_change,-11.91319252596395,11.91319252596395
Shimmer:APQ5_lag_1,-11.68081391858243,11.68081391858243
Shimmer:APQ11_lag_1,10.51753018651334,10.51753018651334
DFA,-8.999482184480025,8.999482184480025
Shimmer(dB)_lag_1,-8.705760804396164,8.705760804396164
HNR_lag_2,8.24172681751088,8.24172681751088
Jitter(Abs)_roll_mean_3,-8.04988226921294,8.04988226921294
Shimmer:APQ5_rate_change,7.670450778383042,7.670450778383042
Jitter:PPQ5_historical_variability,-6.742061879296699,6.742061879296699
Shimmer:APQ11_rate_change,-6.505586772386778,6.505586772386778
NHR_historical_variability,6.372239242063188,6.372239242063188
DFA_lag_2,-6.336199148965989,6.336199148965989
PPE_roll_mean_3,-6.143407298853035,6.143407298853035
Jitter(Abs)_rate_change,-5.219184587423551,5.219184587423551
Jitter(Abs)_lag_1,-5.091259027687231,5.091259027687231
Shimmer(dB)_rate_change,4.95589642837308,4.95589642837308
Jitter(Abs),4.903826956802554,4.903826956802554
Jitter(%)_roll_std_3,-4.632652632978248,4.632652632978248
HNR_lag_1,4.498582752521486,4.498582752521486
PPE,3.6399446039700303,3.6399446039700303
PPE_lag_1,3.5675917817926575,3.5675917817926575
PPE_lag_2,3.544501848217351,3.544501848217351
DFA_lag_1,-3.398415079785309,3.398415079785309
RPDE_roll_mean_3,-3.1673976501179766,3.1673976501179766
Jitter(Abs)_roll_std_3,3.046869973342784,3.046869973342784
HNR_rate_change,-2.805915065520537,2.805915065520537
Jitter(Abs)_historical_variability,2.70870711531137,2.70870711531137
Shimmer:APQ5_historical_variability,-2.243912100851844,2.243912100851844
Jitter:PPQ5_roll_std_3,2.222906218805349,2.222906218805349
age,2.1942150872850297,2.1942150872850297
RPDE,1.8348759709372344,1.8348759709372344
Shimmer_roll_std_3,-1.625370413895439,1.625370413895439
Jitter(Abs)_lag_3,-1.6160891496164806,1.6160891496164806
DFA_historical_variability,-1.5326762174920532,1.5326762174920532
DFA_rate_change,1.4513086115534861,1.4513086115534861
Jitter:PPQ5_lag_3,1.2727776408264617,1.2727776408264617
RPDE_lag_2,1.2681847903072594,1.2681847903072594
PPE_historical_variability,1.2326935904247875,1.2326935904247875
RPDE_historical_variability,1.211151415171571,1.211151415171571
Shimmer:APQ11_roll_std_3,-0.88762766382888,0.88762766382888
Jitter(%)_lag_3,-0.8796723454210804,0.8796723454210804
HNR_historical_variability,-0.8167183572122667,0.8167183572122667
test_time,0.7892448204920509,0.7892448204920509
PPE_roll_std_3,-0.7808603116391168,0.7808603116391168
PPE_lag_3,0.7521514978075174,0.7521514978075174
NHR_lag_3,-0.7493698599220124,0.7493698599220124
Shimmer(dB)_roll_std_3,0.7291100656947265,0.7291100656947265
RPDE_lag_1,0.7270536770613489,0.7270536770613489
Shimmer_historical_variability,-0.7129802416586699,0.7129802416586699
sex,-0.6437576376869599,0.6437576376869599
Shimmer:APQ5_lag_3,-0.5488273866621967,0.5488273866621967
Shimmer(dB)_lag_3,0.4820088943565679,0.4820088943565679
RPDE_rate_change,-0.46647993442872693,0.46647993442872693
